City,State,County,Lat,Lng,Population,Area,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
West Branch,MI,Ogemaw,44.32893,-84.2408,10446,Urban,"Programmer, multimedia",1,27,21704.77,Married,Female,Yes,11.69907956,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.632554,800.9827661
Del Mar,CA,San Diego,32.96687,-117.24798,13863,Suburban,Solicitor,1,48,18925.23,Married,Male,No,14.91353964,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,119.95684,2164.579412
Needville,TX,Fort Bend,29.38012,-95.80673,11352,Suburban,Medical illustrator,0,83,40074.19,Separated,Male,Yes,8.147416533,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.670971726,149.948316,271.4934362
Fort Valley,GA,Peach,32.57032,-83.8904,17701,Urban,Chief Technology Officer,3,83,22660.2,Never Married,Female,No,8.420992898,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,185.007692,1039.357983
Pioneer,TN,Scott,36.4342,-84.27892,2535,Suburban,"Surveyor, hydrographic",0,79,11467.5,Widowed,Male,Yes,11.18272453,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.118516,1907.242972
Oklahoma City,OK,Oklahoma,35.43313,-97.52463,23144,Suburban,Sales promotion account executive,2,30,26759.64,Married,Female,Yes,7.791632265,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,4.26425515,114.950905,979.6127078
Cincinnati,OH,Hamilton,39.19296,-84.4523,20193,Rural,Museum education officer,1,86,50231.4,Married,Female,No,8.707823904,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.422086139,162.482694,508.7637913
Little Meadows,PA,Susquehanna,41.95142,-76.10744,555,Urban,"Teacher, special educational needs",7,23,22580.7,Separated,Female,No,9.341631685,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,174.958118,2728.767869
Conesville,IA,Muscatine,41.37287,-91.36865,556,Rural,"Engineer, broadcasting (operations)",0,83,83671.08,Divorced,Male,No,8.273875452,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,137.439154,1196.388018
Hillside,IL,Cook,41.86752,-87.90222,8165,Urban,Automotive engineer,1,30,64256.81,Separated,Male,Yes,11.79073041,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,159.965581,1582.295235
Saint Germain,WI,Vilas,45.92342,-89.50138,2093,Suburban,Amenity horticulturist,3,39,89061.45,Divorced,Male,Yes,10.79846973,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,177.65076,1840.014467
Parkton,NC,Robeson,34.90636,-78.98944,7249,Rural,Immunologist,2,60,44142.81,Separated,Male,Yes,9.831166695,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,2.303331273,202.682861,882.0985933
Oakland,TN,Fayette,35.2091,-89.50332,9463,Rural,"Engineer, electrical",3,61,39262.14,Widowed,Female,No,9.57470568,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,152.490739,1833.0967
Trafford,AL,Blount,33.84469,-86.6974,3177,Rural,Broadcast presenter,3,23,19494.75,Divorced,Male,Yes,10.92246098,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,149.944668,1954.080809
Columbus,OH,Franklin,39.96636,-83.01286,14440,Suburban,Geophysical data processor,3,30,45714.47,Divorced,Male,No,6.984819996,18,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.495766,594.1054279
Mallard,IA,Palo Alto,42.96153,-94.64179,381,Urban,"Designer, multimedia",3,52,27442.03,Widowed,Male,No,9.372975594,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,124.964303,713.0633088
Baileyville,ME,Washington,45.10333,-67.47223,2193,Urban,Event organiser,2,68,79699.62,Divorced,Male,No,7.109002592,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,149.948316,945.3802928
Williamsburg,OH,Clermont,39.08339,-84.02314,9434,Rural,Equality and diversity officer,3,75,28520.32,Widowed,Female,Yes,13.74777955,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256,162.511928,870.76398
Saint Augustine,FL,St. Johns,29.75675,-81.30311,29568,Suburban,Counsellor,1,77,12558.83,Separated,Male,Yes,9.767668044,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,92.455141,774.2937069
Tohatchi,NM,McKinley,36.00209,-108.62285,3089,Rural,Psychiatrist,1,47,8762.23,Married,Female,Yes,15.8626095,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.649979,1506.446527
Erie,MI,Monroe,41.7812,-83.48594,5652,Urban,"Surveyor, commercial/residential",0,70,43882.72,Widowed,Female,Yes,14.73616645,12,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.392421597,139.981577,419.0508708
Moretown,VT,Washington,44.24718,-72.74137,1716,Urban,Civil Service administrator,3,20,10482.52,Separated,Female,Yes,13.43558029,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),1.430386349,200.132293,1259.415493
Sherwood,OH,Defiance,41.30608,-84.56989,1765,Rural,Dietitian,0,40,21793.88,Never Married,Female,No,4.450171647,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,3.586184954,147.489301,492.4771472
Seney,MI,Schoolcraft,46.43517,-86.01334,136,Rural,Building services engineer,5,74,25942.1,Separated,Male,Yes,11.13156721,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,174.958118,2680.762173
